age,gender,location,education,class,primary SM,dly use,exposed,trust,anti-vacc
45-54,Male,NA U.S.,Master,Upp,FB,3-4,1,Web,1
35-44,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Fam,0
18-24,Female,NA U.S.,Master,Mid,Twitt,0-2,1,Doc,0
35-44,Female,NA U.S.,Master,Upp,FB,0-2,1,Doc,0
45-54,Female,NA other,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
45-54,Male,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
18-24,Male,NA other,Bach,Mid,Twitt,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
18-24,Female,NA other,9-13,Upp,IG,0-2,0,Doc,0
18-24,Female,NA U.S.,Assoc,Mid,Twitt,5-6,1,Doc,0
35-44,Female,NA U.S.,Bach,Upp,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,Assoc,Low,Twitt,3-4,1,Doc,0
55-64,Male,Aus/Ocea,Master,Low,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,IG,3-4,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
18-24,Female,EU,Bach,Low,IG,5-6,1,Doc,0
45-54,Female,NA other,Assoc,Upp,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,Twitt,5-6,1,Doc,0
35-44,Female,EU,9-13,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
35-44,Female,NA other,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,Twitt,7-8,1,Doc,0
35-44,Female,EU,Master,Upp,FB,3-4,1,Doc,0
35-44,Female,Aus/Ocea,Assoc,Mid,FB,0-2,1,Doc,0
25-34,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA other,Assoc,Mid,FB,0-2,1,Doc,0
55-64,Male,NA U.S.,9-13,Low,FB,0-2,1,Doc,0
55-64,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
18-24,Male,NA U.S.,9-13,Mid,FB,3-4,1,Fam,1
18-24,Female,NA U.S.,Bach,Mid,IG,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
55-64,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
18-24,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,Bach,Mid,IG,3-4,1,Doc,0
55-64,Female,NA U.S.,Highest,Upp,FB,0-2,1,Doc,0
18-24,Male,NA U.S.,9-13,Mid,Twitt,0-2,1,Doc,0
45-54,Female,NA U.S.,Highest,Upp,IG,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,Assoc,Low,FB,0-2,1,Doc,0
35-44,Male,Aus/Ocea,Bach,Low,FB,3-4,1,Doc,0
55-64,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,Twitt,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Low,FB,5-6,1,Doc,0
45-54,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,1
18-24,Female,NA U.S.,9-13,Low,IG,5-6,1,Doc,1
25-34,Male,Aus/Ocea,Highest,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
35-44,Female,EU,9-13,Low,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Bach,Upp,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,Twitt,3-4,1,Doc,0
45-54,Female,NA U.S.,Bach,Upp,IG,0-2,1,Doc,0
45-54,Male,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
25-34,Female,EU,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Male,NA U.S.,Bach,Mid,Other,0-2,1,Doc,0
55-64,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,0,Doc,0
25-34,Female,NA U.S.,Bach,Mid,Twitt,3-4,1,Doc,0
65+,Male,Aus/Ocea,9-13,Mid,FB,5-6,1,Doc,0
35-44,Female,NA other,Bach,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
18-24,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Male,NA U.S.,9-13,Low,FB,7-8,1,Doc,0
18-24,Female,NA U.S.,9-13,Low,Twitt,9+,1,Doc,0
35-44,Male,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
35-44,Female,Aus/Ocea,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,7-8,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
35-44,Male,NA U.S.,Bach,Upp,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Bach,Upp,FB,0-2,1,Doc,0
65+,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,7-8,1,Doc,0
45-54,Female,NA U.S.,9-13,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Upp,IG,0-2,1,Doc,0
25-34,Male,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,Aus/Ocea,Master,Mid,FB,0-2,1,Gov,0
55-64,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA other,Bach,Upp,FB,0-2,1,Doc,0
65+,Male,Aus/Ocea,Master,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,9-13,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,5-6,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,5-6,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
18-24,Male,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,5-6,1,Doc,0
35-44,Female,NA U.S.,Master,Upp,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,9-13,Mid,FB,5-6,1,Doc,0
65+,Male,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
55-64,Female,NA U.S.,9-13,Mid,FB,7-8,1,Doc,0
25-34,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,EU,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,IG,3-4,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,IG,3-4,1,Doc,0
35-44,Male,Aus/Ocea,Assoc,Mid,FB,0-2,1,Doc,0
55-64,Male,Aus/Ocea,Assoc,Mid,FB,0-2,1,Web,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,Twitt,3-4,1,Web,0
18-24,Female,EU,Bach,Mid,FB,3-4,1,Doc,0
55-64,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,1
25-34,Female,EU,Master,Mid,FB,0-2,1,Doc,0
45-54,Female,Aus/Ocea,9-13,Mid,FB,3-4,1,Doc,0
25-34,Female,Aus/Ocea,Bach,Mid,Other,3-4,1,Doc,0
35-44,Female,Afr,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,Aus/Ocea,Master,Mid,FB,0-2,1,Peers,0
45-54,Female,Aus/Ocea,Assoc,Mid,FB,3-4,1,Gov,0
25-34,Female,NA U.S.,Bach,Upp,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Web,1
35-44,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,IG,0-2,1,Doc,0
35-44,Female,NA other,Assoc,Mid,FB,0-2,1,Doc,0
45-54,Male,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
35-44,Male,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Male,EU,Master,Mid,FB,0-2,1,Doc,0
25-34,Male,NA other,9-13,Mid,FB,0-2,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,3-4,1,Gov,0
35-44,Female,Aus/Ocea,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,EU,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
45-54,Male,NA U.S.,Assoc,Low,FB,0-2,1,Doc,0
45-54,Female,Aus/Ocea,Bach,Low,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,Aus/Ocea,Highest,Mid,FB,0-2,1,Doc,0
55-64,Female,NA other,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,9-13,Low,FB,0-2,1,Doc,0
18-24,Female,EU,Assoc,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,5-6,1,Doc,0
25-34,Female,NA other,Assoc,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Male,EU,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,9-13,Mid,FB,0-2,1,Peers,1
35-44,Female,NA U.S.,Master,Upp,FB,0-2,1,Doc,0
35-44,Female,EU,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,Aus/Ocea,9-13,Mid,IG,0-2,1,Doc,0
25-34,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Upp,FB,0-2,1,Doc,0
45-54,Male,NA other,Bach,Mid,FB,0-2,1,Doc,0
65+,Female,Aus/Ocea,Assoc,Mid,FB,3-4,1,Doc,0
18-24,Female,NA U.S.,Assoc,Mid,Twitt,3-4,1,Doc,0
35-44,Male,NA U.S.,K-8,Low,FB,3-4,1,Gov,0
45-54,Female,NA U.S.,Assoc,Mid,Twitt,3-4,1,Doc,0
45-54,Female,NA other,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
45-54,Female,EU,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,EU,Highest,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,Twitt,0-2,1,Doc,0
55-64,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Male,NA U.S.,Highest,Upp,FB,0-2,1,Doc,0
55-64,Female,NA other,Assoc,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,IG,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
65+,Male,Aus/Ocea,9-13,Mid,FB,3-4,1,Doc,0
25-34,Female,EU,Bach,Mid,IG,3-4,1,Doc,0
45-54,Female,EU,Master,Mid,FB,0-2,1,Doc,0
45-54,Male,Afr,Bach,Upp,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
18-24,Female,NA other,Assoc,Mid,FB,0-2,1,Web,0
18-24,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,1
35-44,Female,NA U.S.,Highest,Upp,Twitt,0-2,1,Doc,0
55-64,Male,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,IG,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Highest,Mid,IG,0-2,1,Gov,0
25-34,Female,NA U.S.,Bach,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
55-64,Female,Aus/Ocea,Highest,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Male,EU,Highest,Upp,FB,0-2,1,Doc,0
55-64,Female,EU,Bach,Mid,FB,3-4,1,Gov,0
25-34,Female,NA other,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,EU,Master,Mid,IG,5-6,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
18-24,Male,EU,Bach,Low,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Master,Mid,Twitt,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Upp,FB,3-4,1,Doc,0
35-44,Male,NA U.S.,Master,Mid,FB,0-2,0,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
65+,Male,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
65+,Male,NA other,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,1
35-44,Female,EU,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,EU,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,3-4,1,Fam,0
25-34,Female,NA U.S.,Highest,Upp,FB,3-4,1,Doc,0
18-24,Male,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
55-64,Female,NA U.S.,Master,Upp,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,0-2,0,Doc,1
25-34,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
65+,Male,NA U.S.,Highest,Mid,FB,5-6,1,Doc,0
35-44,Female,EU,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,Aus/Ocea,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,EU,Bach,Mid,Twitt,3-4,1,Doc,0
18-24,Male,NA U.S.,9-13,Mid,IG,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Low,FB,5-6,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
25-34,Male,EU,Highest,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,NA other,9-13,Mid,FB,0-2,0,Doc,0
25-34,Female,NA U.S.,9-13,Low,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
25-34,Male,NA U.S.,Highest,Mid,Other,0-2,1,Doc,0
65+,Male,EU,Bach,Mid,FB,0-2,1,Gov,0
25-34,Female,SA,9-13,Low,FB,3-4,1,Doc,1
18-24,Female,NA other,9-13,Mid,FB,3-4,1,Doc,0
25-34,Female,EU,Assoc,Low,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,Twitt,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,IG,0-2,1,Doc,0
45-54,Female,EU,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,9-13,Low,FB,7-8,1,Doc,0
45-54,Female,Aus/Ocea,9-13,Mid,FB,3-4,1,Doc,0
25-34,Male,NA other,Highest,Mid,IG,0-2,1,Doc,0
25-34,Female,Afr,Highest,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Assoc,Low,IG,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,Aus/Ocea,9-13,Mid,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
45-54,Female,NA other,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
45-54,Female,NA other,Highest,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Web,0
45-54,Female,NA U.S.,Assoc,Upp,FB,0-2,1,Gov,0
25-34,Female,NA other,9-13,Low,FB,5-6,1,Doc,0
35-44,Female,NA U.S.,9-13,Mid,FB,0-2,1,Doc,0
45-54,Male,EU,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Upp,FB,3-4,1,Doc,0
25-34,Female,NA other,9-13,Mid,FB,0-2,1,Doc,0
35-44,Male,EU,9-13,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,IG,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,5-6,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
45-54,Male,EU,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA other,Bach,Mid,Other,0-2,1,Doc,0
25-34,Female,Aus/Ocea,Assoc,Mid,FB,3-4,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,FB,0-2,1,Doc,0
55-64,Male,NA other,Assoc,Mid,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
18-24,Male,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
25-34,Male,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
18-24,Female,EU,9-13,Low,FB,3-4,1,Doc,0
35-44,Female,Afr,9-13,Mid,FB,3-4,1,Gov,0
25-34,Female,NA U.S.,Highest,Low,IG,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,EU,Master,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
25-34,Male,NA,Bach,Mid,Twitt,3-4,1,Doc,0
25-34,Female,NA other,Assoc,Mid,FB,0-2,0,Doc,1
35-44,Female,NA U.S.,Assoc,Low,FB,3-4,1,Doc,0
65+,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,Twitt,0-2,0,Doc,0
45-54,Female,NA U.S.,Bach,Low,FB,0-2,1,Doc,0
35-44,Female,NA other,Master,Upp,FB,3-4,1,Doc,0
18-24,Male,NA other,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,EU,Highest,Mid,FB,3-4,1,Doc,0
18-24,Female,NA U.S.,9-13,Low,FB,0-2,1,Doc,0
55-64,Male,NA other,9-13,Mid,FB,3-4,1,Doc,1
55-64,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,9-13,Low,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
35-44,Male,EU,Master,Mid,FB,0-2,1,Doc,0
35-44,Male,NA U.S.,Bach,Low,FB,3-4,1,Doc,0
45-54,Male,EU,Master,Upp,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Highest,Mid,FB,3-4,1,Doc,0
45-54,Male,NA U.S.,9-13,Mid,FB,7-8,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Assoc,Low,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,Aus/Ocea,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
25-34,Female,EU,9-13,Low,FB,3-4,1,Doc,0
25-34,Male,NA other,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Upp,FB,0-2,1,Doc,0
25-34,Female,NA other,Assoc,Mid,FB,3-4,1,Doc,0
45-54,Male,NA other,9-13,Low,FB,7-8,1,Doc,0
35-44,Male,NA other,9-13,Mid,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,9-13,Low,FB,5-6,1,Doc,0
35-44,Female,Afr,Master,Mid,FB,3-4,1,Doc,0
55-64,Female,NA U.S.,Assoc,Mid,FB,0-2,0,Web,1
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
55-64,Female,NA U.S.,9-13,Mid,Twitt,3-4,1,Doc,0
35-44,Female,NA other,Bach,Mid,FB,0-2,1,Doc,0
55-64,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
55-64,Female,NA U.S.,9-13,Low,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Male,NA other,Assoc,Low,FB,0-2,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
25-34,Male,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,EU,Assoc,Mid,FB,3-4,1,Doc,0
18-24,Female,EU,9-13,Mid,Twitt,3-4,1,Doc,0
65+,Male,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
55-64,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Highest,Mid,IG,5-6,1,Doc,0
35-44,Female,EU,Bach,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
25-34,Male,EU,Bach,Mid,FB,3-4,1,Doc,0
45-54,Female,NA other,9-13,Mid,FB,0-2,0,Doc,1
25-34,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
18-24,Female,SA,Highest,Upp,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Highest,Upp,FB,3-4,1,Doc,0
35-44,Male,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,7-8,1,Doc,0
25-34,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Highest,Mid,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,Master,Mid,FB,0-2,0,Doc,0
35-44,Male,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
35-44,Male,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,IG,3-4,0,Doc,1
18-24,Male,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,IG,3-4,1,Doc,0
35-44,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,EU,Assoc,Mid,FB,3-4,1,Doc,0
65+,Male,EU,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA other,Assoc,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,FB,5-6,1,Doc,0
35-44,Female,Aus/Ocea,Bach,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
25-34,Male,NA other,9-13,Mid,FB,0-2,1,Web,1
35-44,Female,EU,Bach,Mid,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,5-6,1,Doc,0
35-44,Female,NA other,Bach,Upp,FB,0-2,1,Doc,0
18-24,Female,NA other,Bach,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Upp,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Low,FB,3-4,1,Doc,0
18-24,Female,EU,Master,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Highest,Upp,FB,0-2,1,Doc,0
25-34,Female,NA U.S.,Assoc,Mid,Twitt,3-4,1,Doc,0
45-54,Female,NA other,Assoc,Mid,FB,0-2,1,Doc,0
35-44,Male,EU,Master,Low,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,Highest,Upp,Twitt,0-2,1,Doc,0
18-24,Female,EU,9-13,Mid,FB,3-4,1,Doc,0
45-54,Female,NA other,9-13,Mid,IG,0-2,1,Gov,0
55-64,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
